Code,Label
A111,Q4
A119,Q4
A120,Q4
A134,Q4
A137,Q4
A141,Q4
A145,Q4
A001,Q4
A002,Q4
A017,Q4
A021,Q4
A030,Q4
A032,Q4
A058,Q4
A063,Q4
A066,Q4
A067,Q4
A078,Q4
A088,Q4
A098,Q4
A109,Q4
A165,Q4
A168,Q4
A178,Q4
A179,Q4
A186,Q4
A190,Q4
A192,Q4
A198,Q4
A117,Q3
A126,Q3
A130,Q3
A143,Q3
A157,Q3
A003,Q3
A004,Q3
A018,Q3
A029,Q3
A034,Q3
A035,Q3
A038,Q3
A045,Q3
A048,Q3
A060,Q3
A061,Q3
A071,Q3
A073,Q3
A081,Q3
A083,Q3
A084,Q3
A085,Q3
A096,Q3
A097,Q3
A106,Q3
A170,Q3
A171,Q3
A188,Q3
A191,Q3
A195,Q3
A116,Q2
A127,Q2
A131,Q2
A136,Q2
A140,Q2
A142,Q2
A147,Q2
A150,Q2
A151,Q2
A159,Q2
A010,Q2
A013,Q2
A020,Q2
A023,Q2
A025,Q2
A028,Q2
A049,Q2
A051,Q2
A052,Q2
A055,Q2
A062,Q2
A068,Q2
A074,Q2
A080,Q2
A082,Q2
A087,Q2
A090,Q2
A091,Q2
A103,Q2
A172,Q2
A174,Q2
A176,Q2
A177,Q2
A182,Q2
A183,Q2
A193,Q2
A194,Q2
A114,Q1
A115,Q1
A128,Q1
A132,Q1
A146,Q1
A148,Q1
A152,Q1
A153,Q1
A160,Q1
A005,Q1
A011,Q1
A014,Q1
A019,Q1
A022,Q1
A024,Q1
A039,Q1
A042,Q1
A043,Q1
A047,Q1
A050,Q1
A064,Q1
A077,Q1
A086,Q1
A092,Q1
A094,Q1
A095,Q1
A100,Q1
A101,Q1
A102,Q1
A104,Q1
A105,Q1
A107,Q1
A162,Q1
A166,Q1
A167,Q1
A187,Q1
A196,Q1